بيس	בס
هالة	הילה
برهان	הוכחה
الحرائق	שריפות
الفتنة	הסתה
القراصنة	פירטים
مزدوجة	מכפיל
الاستراتيجي	אסטרטגית
الفواكه	פרי
الفواكه	פירות
مير	מיר
مير	מר
تسوية	הסדר
تسوية	להתיישב
تسوية	פשרה
الالكتروني	אלקטרונית
الاتحادي	הפדרלי
حراري	תרמית
الكسندر	אלכסנדר
نشرة	עלון
قزوين	הכספי
العملي	מעשית
قادرين	מסוגל
قادرين	מסוגל
تجاهل	תתעלם
تجاهل	התעלמות
هرتز	הרץ
استقالة	התפטרות
كيفن	קווין
مارسيليا	מרסיי
المثالي	אידיאלי
القطعة	פיסה
القطعة	מקטע
المعارضين	היריבים
افراد	יחידים
التسمم	הרעלה
حليب	חלב
المعتقلين	העצורים
مطلق	גרוש
النظير	peer
مناهضة	אנטי
بندقية	רובה
المعيشة	פרנסה
الاكتشاف	דיסקברי
العقاقير	סמים
جنائية	פושע
السامي	סמי
منارة	מגדלור
منارة	משואת
مذيع	שדרן
حفرة	חור
اسفل	מטה
المستوطنات	יישובים
خلع	נקע
دوس	דוס
متطورة	מתוחכמת
هوندا	הונדה
الجرحى	פצועה
الكوميدي	קומיקאי
كلير	קלייר
تراكم	הצטברות
الناتو	נאטו
قاسية	נוקשה
البنا	בנא
واجب	חובה
الاستثمارات	השקעות
الاستثمارات	השקעה
المضيف	מארחים
تقليدي	מסורתית
تقليدي	קלאסיקה
غارسيا	גרסיה
رويال	מלכותי
شهيد	שהיד
شهيد	מעונה
شهيد	שאהיד
بالتحديد	במפורש
العامية	סלנג
هدية	מתנה
هدية	מתנה
انتقادات	ביקורת
تشعر	הרגש
ملاك	מלאך
حشرات	באגים
يضرب	להיטים
تطالب	דורש
الدخان	סמוק
الجزاء	עונשין
الاعتقال	מעצר
الاعتقال	ריתוק
الزوايا	פינות
خلاصة	מופשט
الصوفي	מיסטיק
الوفاق	פיוס
الوفاق	קונקורד
متصفح	דפדפן
تسرب	דליפה
تسرب	דליפה
دعاء	תפילה
تمدد	למתוח
سماء	שמיים
سماء	שמיים
حقا	באמת
مهد	ערש
مهد	עריסה
مساكن	דיור
بنيامين	בנימין
نبيلة	אציל
الزهري	עגבת
ترمز	מסמלים
ترمز	מסמלת
الميثاق	קומפקטי
الانتقادات	ביקורת
باز	באז
خبز	הלחם
البيضاوي	הסגלגל
هجر	נטישה
زيمبابوي	זימבבואה
زيمبابوي	מזימבבואה
تقوية	לחיזוק
تقوية	חיזוק
تقوية	חיזוק
مدفعية	ארטילריה
ناس	אנשים
قزم	שדון
قزم	גמד
قزم	גמד
قزم	גמד
حشد	קהל
القيادات	מנהיגות
فاتح	אור
نيوكاسل	ניוקאסל
ضرر	נזקים
الموضة	אופנה
متكرر	תכופים
التحضير	הכנות
التحضير	מתכוננת
جوليان	וליאן
الصنوبر	פיין
توت	גרגרים
بيني	פני
مولود	נולדת
العاصفة	סערה
الكهنة	כמרים
ميزات	תכונות
مربعة	סקוור
العمالة	הלייבור
العمالة	תעסוקה
التمثال	פסל
فارغة	ריקה
فارغة	בלאנק
الرجم	סקילה
خطية	נכתב
خطية	לינארי
الخميني	חומייני
السموم	רעלים
السموم	רעלנים
انجلترا	באנגליה
وود	עץ
الحزام	חגורה
سعيدة	מרוצה
القفز	קופץ
السلاحف	צבים
التحرر	השחרור
القوارب	סירות
الخنزير	חזיר
تدقيق	בודק
الانسان	אנוש
رونالد	רונלד
المعرفية	קוגניטיבי
كوين	קווין
لوكاس	לוקאס
ستين	sixty
تحديدا	במפורש
كفاية	מספיק
قاعات	במסדרונות
التقاط	לתפוס
التقاط	ללכוד
القماش	מבד
القماش	בד
فكرية	אינטלקטואלי
جرير	גריר
الحيتان	לוויתנים
بقعة	הכתם
بقعة	ספוט
الرقبة	הצוואר
المزرعة	חוות
الطماطم	עגבנייה
الطماطم	העגבניות
اطلاق	משגר
اطلاق	השקה
سانتوس	סנטוס
تنظيف	מנקה
هرقل	הרקולס
ستانلي	סטנלי
التشريعات	חקיקה
سمة	נושא
سمة	תכונה
بارما	פארמה
محفوظة	שמורות
يونكس	יוניקס
الملايين	מליונים
مطبوع	הדפסת
مستقيم	סטרייט
جبريل	גבריאל
جداول	שולחנות
جداول	זרמים
المتزايد	גדל
مفاعل	כור
الذئب	וולף
الفخار	קדרות
سحاب	רוכסן
سحاب	העננים
سحاب	הענן
حافلة	אוטובוס
الرفع	הרמת
مشعل	משואת
مشعل	מדורה
محليا	מקומי
محليا	מקומיים
مكسيكي	מקסיקני
اليوتيوب	טיוב
السلمية	שלווים
الجراثيم	חיידקים
السليمانية	סולימאניה
مصور	צלמת
الكونية	קוסמי
باسكال	פסקל
فرنسيس	פראנסיס
عاطف	עאטף
العيوب	חסרונות
العيوب	הפגמים
العيوب	פגמים
رونالدو	רונאלדו
لورد	לורד
مغطاة	מכוסה
بيلا	בלה
نزلت	הורדת
ملبورن	מלבורן
صيغ	נוסחאות
بستان	גרוב
بستان	הבוסתן
معاناة	סבל
العبارات	ביטויים
العبارات	מעבורות
ثور	תור
اكتسب	הושג
القلوب	לבבות
فورا	מיד
قلادة	שרשרת
قلادة	תליון
سماع	שימוע
تحطم	קראש
الدمار	חורבן
العنصري	גזענות
كرات	ביצים
ريكاردو	ריקרדו
الفوج	חטיבה
لادن	לאדן
النرويجية	נורבגי
الملاحظة	תו
الملاحظة	תצפית
النسبي	יחסי
خلط	ערבוב
اواخر	מאחרת
الرياضيين	אתלטים
صافي	רשת
كبر	התקרב
اللهم	אלהים
النية	כוונה
النية	כוונה
الرهبان	נזירים
صداقة	חברויות
برميل	חבית
وقائع	עובדות
وقائع	כרוניקל
سياسيا	פוליטית
ودية	ידידותית
ثقيلة	כבד
الحقن	זריקות
الحقن	הזרקת
زوايا	פינות
وفاء	נאמנות
وفاء	הגשמה
وفاء	נאמנות
وفاء	הגשמה
شارة	תג
الرحمة	רחמים
مونت	מונט
مونت	מונטי
خوارزمية	אלגוריתם
التكاثر	רבייה
التكاثر	הרבייה
المظهر	מראה
هندوراس	הונדורס
هندوراس	הונדורס
ظواهر	תופעות
السلاسل	שרשראות
مطاعم	מסעדות
المختلطة	מעורב
المختلطة	כלאיים
الظلم	עוול
الجثة	גווייה
الكهوف	מערות
عناية	אכפת
صغر	קטן
صغر	למזער
شاشات	המסכים
شاشات	מוניטור
التفاح	תפוחים
راح	ויל
اخترع	המציאה
اخترع	להמציא
عطاء	עדין
الاحتكاك	חיכוך
عظمة	בון
عظمة	לגדולה
المعدية	זיהומיות
المعدية	מדבקת
غراند	גרנד
لاتينية	לטינית
لاتينية	לטינית
النظرة	תראי
الممتلكات	רכוש
الممتلكات	תכונות
اتجاهات	מגמות
الغاية	מטרה
باع	נמכרה
الرعد	רעם
روميو	רומיאו
رسومات	ציורים
رسومات	גרפיקה
مصباح	מנורה
مايا	מאיה
الانقسام	פיצול
التغطية	כיסוי
عقيد	קולונל
التراجع	לסגת
الزينة	קישוטים
السقف	תקרה
السقف	גג
فراغ	ריקנות
فراغ	ואקום
الطاولة	השולחן
بلاط	אריח
بلاط	אריחים
متزوجة	נישא
المرات	פעמים
تولد	נולדת
تولد	גזע
تمرير	חולף
تمرير	המגילה
تمرير	מסירה
عجلة	גלגל
المثلية	הומוסקסואליות
الطحالب	אצות
فاي	פיי
فاي	מיסטי
مطلقة	גרוש
مطلقة	מוחלט
ديربي	דרבי
البيطار	ביטאר
رون	רון
الكهرومغناطيسية	אלקטרומגנטית
يشترط	דורש
المدمرة	משחתת
الحائط	חומה
